user_id,user_name,reason,date,mod,server
151255511994597376,webmaster#2994,,Date N/A,Smaen#9999,PC Help Hub
166519316261371904,Deleted User 9f7a998c#3973,Being an ass and giving bad advice,Date N/A,Smaen#9999,PC Help Hub
190715094672474115,rray#2699,,Date N/A,Smaen#9999,PC Help Hub
216241381889277952,WEEEBANANANA#0165,keep your loli shit in your depraved minds.,Date N/A,Smaen#9999,PC Help Hub
216496510391549952,larry bird#5163,,Date N/A,Smaen#9999,PC Help Hub
234005836274335744,BananaJane#5528,you had the thin ice%2C you kept on not following the rules. You've now carried it too far and will not be welcome here again. Thanks for the stay and have an amazing day.,Date N/A,Smaen#9999,PC Help Hub
235595819808587776,lil 🅱ete#2580,Idiot,Date N/A,Smaen#9999,PC Help Hub
236638726250299393,King Aegon Targaryen I™#5470,Take your homophobic views and stick them up your ass. Fuck off and don't come back!,Date N/A,Smaen#9999,PC Help Hub
239075946290872320,Magma#7000,,Date N/A,Smaen#9999,PC Help Hub
241734360116494337,cool bird#4061,Offensive posts,Date N/A,Smaen#9999,PC Help Hub
244651137477640196,piantisimo#1605,Spamming,Date N/A,Smaen#9999,PC Help Hub
261617855257116672,Whoopity Longjohn#9982,,Date N/A,Smaen#9999,PC Help Hub
270580698916585482,Arcticuz#8507,adv,Date N/A,Smaen#9999,PC Help Hub
270636920126701568,♂ Man ♂#2164,,Date N/A,Smaen#9999,PC Help Hub
273696505163153408,seth#4949,,Date N/A,Smaen#9999,PC Help Hub
280491905068957696,Being Gay Is A Disease#9421,,Date N/A,Smaen#9999,PC Help Hub
281543999419056139,Deleted User cd9db5e1#4429,Underage,Date N/A,Smaen#9999,PC Help Hub
289947279593570304,pergopa#8179,Racism,Date N/A,Smaen#9999,PC Help Hub
291050163378847746,Ashton#8507,Threats,Date N/A,Smaen#9999,PC Help Hub
294834403077521408,Deleted User db93ce75#0206,ok,Date N/A,Smaen#9999,PC Help Hub
